Nick,Liczba lini, Liczba znaków,Link do wpisu, Link do programu
@Dewastators,75,2784,http://www.wykop.pl/wpis/18969431/#comment-67275381,http://pastebin.com/raw/gGxvgcx8
@orbitpl,78,2366,http://www.wykop.pl/wpis/18969431/#comment-67278619,http://pastebin.com/raw/3eZebTV2
@Engineer_Mordimer,245,5917,http://www.wykop.pl/wpis/18969431/#comment-67307091,https://raw.githubusercontent.com/EngineerMordimer/wyzwaniePython/master/zad_3/task3.py
@brunix,243,7227,http://www.wykop.pl/wpis/18969431/#comment-67293845,https://github.com/bro-wer/wykop_python/blob/master/zadanie_03/file_commander.py
